회사명,종목코드,업종,주요제품,상장일,시장구분,ticker
비츠로시스,054220,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","원방감시제어시스템, 분산제어시스템",2001-12-26,KOSDAQ,054220.KQ
오리엔탈정공,014940,일반 목적용 기계 제조업,선박용 기계제품(크레인 등),2001-12-26,KOSDAQ,014940.KQ
웰킵스하이텍,043590,반도체 제조업,"DRIVER-IC,DDI Package,트랜스포머,코일",2001-12-20,KOSDAQ,043590.KQ
리노공업,058470,전자부품 제조업,"리노핀, 반도체 소켓 등",2001-12-18,KOSDAQ,058470.KQ
성우테크론,045300,전자부품 제조업,"리드프레임,반도체검사장비",2001-12-18,KOSDAQ,045300.KQ
에스에프에이,056190,특수 목적용 기계 제조업,"디스플레이, 2차전지, 반도체 제조설비 및 공장자동화기기",2001-12-18,KOSDAQ,056190.KQ
신화인터텍,056700,플라스틱제품 제조업,디스플레이 BLU용 광학필름,2001-12-13,KOSDAQ,056700.KQ
엑사이엔씨,054940,실내건축 및 건축마무리 공사업,실내건축 공사업,2001-12-13,KOSDAQ,054940.KQ
피에이치에이,043370,자동차 신품 부품 제조업,"자동차용 도어랫치, 도어힌지",2001-12-13,KOSDAQ,043370.KQ
APS,054620,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,KOSDAQ,054620.KQ
코위버,056360,통신 및 방송 장비 제조업,"가입가계 가입자계 광단국장치,SONs-51,OMS-155M,OCSU,E2 가입자 전송장비,SDS-2500 등",2001-12-04,KOSDAQ,056360.KQ
성호전자,043260,전자부품 제조업,"전원공급장치,필름콘덴서",2001-11-29,KOSDAQ,043260.KQ
YW,051390,상품 종합 도매업,도소매,2001-11-15,KOSDAQ,051390.KQ
삼영엠텍,054540,"구조용 금속제품, 탱크 및 증기발생기 제조업","구조용 특수장치, 교량부품",2001-11-15,KOSDAQ,054540.KQ
이니텍,053350,소프트웨어 개발 및 공급업,정보보안 및 인증솔루션,2001-11-15,KOSDAQ,053350.KQ
에이디칩스,054630,그외 기타 제품 제조업,"업소용냉동냉장, 반도체칩",2001-11-13,KOSDAQ,054630.KQ
유진로봇,056080,특수 목적용 기계 제조업,"청소로봇, 완구류외",2001-11-13,KOSDAQ,056080.KQ
태웅,044490,기타 금속 가공제품 제조업,자유형단조품,2001-11-08,KOSDAQ,044490.KQ
경남제약,053950,의약품 제조업,PCB 드릴가공,2001-11-06,KOSDAQ,053950.KQ
삼보모터스,053700,자동차 신품 부품 제조업,증명서 자동발급기,2001-11-06,KOSDAQ,053700.KQ
한컴위드,054920,소프트웨어 개발 및 공급업,전자상거래 보안 솔루션,2001-11-01,KOSDAQ,054920.KQ
코미팜,041960,의약품 제조업,동물약품,2001-10-30,KOSDAQ,041960.KQ
프리엠스,053160,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건설장비용 전장품,제어기",2001-10-30,KOSDAQ,053160.KQ
코나아이,052400,소프트웨어 개발 및 공급업,"전자화폐, 단말기, 수집/정산시스템",2001-10-18,KOSDAQ,052400.KQ
메디콕스,054180,선박 및 보트 건조업,XML/SGML 관련 제품 및 솔루션,2001-10-16,KOSDAQ,054180.KQ
SGA,049470,소프트웨어 개발 및 공급업,"산업용컴퓨터 제조, 판매",2001-10-11,KOSDAQ,049470.KQ
더테크놀로지,043090,기타 전문 도매업,"바이오리엑터(Bioreactor, 생물반응기)",2001-10-11,KOSDAQ,043090.KQ
지에스이,053050,연료용 가스 제조 및 배관공급업,도시가스,2001-10-11,KOSDAQ,053050.KQ
아이디스홀딩스,054800,기타 전문 서비스업,비금융지주회사,2001-09-27,KOSDAQ,054800.KQ
코데즈컴바인,047770,봉제의복 제조업,패션의류,2001-09-18,KOSDAQ,047770.KQ
안랩,053800,소프트웨어 개발 및 공급업,바이러스백신 프로그램,2001-09-13,KOSDAQ,053800.KQ
YTN,040300,"영화, 비디오물, 방송프로그램 제작 및 배급업",광고/협찬 및 프로그램 제작,2001-09-04,KOSDAQ,040300.KQ
CMG제약,058820,의약품 제조업,의약품,2001-08-31,KOSDAQ,058820.KQ
JYP Ent.,035900,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,KOSDAQ,035900.KQ
KCC건설,021320,건물 건설업,"토목 건축공사, 분양공사",2001-08-21,KOSDAQ,021320.KQ
세동,053060,자동차 신품 부품 제조업,"도어벨트, 몰딩",2001-08-17,KOSDAQ,053060.KQ
프로텍,053610,특수 목적용 기계 제조업,"Dispenser, Tray Feeder, 공압실린더",2001-08-17,KOSDAQ,053610.KQ
액토즈소프트,052790,소프트웨어 개발 및 공급업,온라인 게임 및 모바일 게임,2001-08-14,KOSDAQ,052790.KQ
세코닉스,053450,사진장비 및 광학기기 제조업,"모바일용 카메라렌즈, 차량용 카메라 및 광학부품",2001-08-09,KOSDAQ,053450.KQ
바이넥스,053030,의약품 제조업,"정장제, 소화제",2001-08-07,KOSDAQ,053030.KQ
오성첨단소재,052420,플라스틱제품 제조업,"보호, 기능성 필름",2001-08-07,KOSDAQ,052420.KQ
태양,053620,기타 금속 가공제품 제조업,"휴대용 부탄가스, 에어졸캔, 외주수탁품",2001-08-07,KOSDAQ,053620.KQ
오션인더블유,052300,상품 종합 도매업,운송,2001-08-02,KOSDAQ,052300.KQ
유아이엘,049520,전자부품 제조업,"스마트폰 기구부품(키버튼,금속부품,부자재,악세서리 등)",2001-08-02,KOSDAQ,049520.KQ
대원미디어,048910,기타 전문 도매업,"캐릭터 사업, 만화영화 제작",2001-07-31,KOSDAQ,048910.KQ
중앙첨단소재,051980,통신 및 방송 장비 제조업,통신장비 등,2001-07-31,KOSDAQ,051980.KQ
CJ프레시웨이,051500,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,KOSDAQ,051500.KQ
파인디앤씨,049120,전자부품 제조업,"CHASSIS , 금형",2001-07-26,KOSDAQ,049120.KQ
