회사명,종목코드,업종,주요제품,상장일,시장구분,ticker
툴젠,199800,자연과학 및 공학 연구개발업,유전자교정 플랫폼 관련 제품,2021-12-10,KOSDAQ,199800.KQ
마음AI,377480,소프트웨어 개발 및 공급업,종합 인공지능 엔진 및 플랫폼,2021-11-23,KOSDAQ,377480.KQ
알비더블유,361570,오디오물 출판 및 원판 녹음업,음반 및 음원 등(콘텐츠),2021-11-22,KOSDAQ,361570.KQ
NPX,222160,특수 목적용 기계 제조업,인쇄회로기판(PCB) 전기검사기,2021-11-18,KOSDAQ,222160.KQ
트윔,290090,소프트웨어 개발 및 공급업,AI 기반 스마트팩토리 검사 소프트웨어 및 설비,2021-11-17,KOSDAQ,290090.KQ
아이티아이즈,372800,소프트웨어 개발 및 공급업,"디지털금융솔루션 제공 및 AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)",2021-11-11,KOSDAQ,372800.KQ
지오엘리먼트,311320,전자부품 제조업,"센서, 캐니스터",2021-11-11,KOSDAQ,311320.KQ
SKAI,357880,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",2021-11-10,KOSDAQ,357880.KQ
디어유,376300,소프트웨어 개발 및 공급업,"모바일 어플리케이션(DearU bubble, Lysn)",2021-11-10,KOSDAQ,376300.KQ
지니너스,389030,자연과학 및 공학 연구개발업,"NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등",2021-11-08,KOSDAQ,389030.KQ
피코그램,376180,그외 기타 제품 제조업,"정수기, 정수기 필터",2021-11-03,KOSDAQ,376180.KQ
엔켐,348370,기초 화학물질 제조업,2차전지 전해액,2021-11-01,KOSDAQ,348370.KQ
리파인,377450,기타 정보 서비스업,권리조사,2021-10-29,KOSDAQ,377450.KQ
지앤비에스 에코,382800,특수 목적용 기계 제조업,"스크러버, 트랩, 백연제거장치 등",2021-10-29,KOSDAQ,382800.KQ
아이패밀리에스씨,114840,기타 화학제품 제조업,"색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`",2021-10-28,KOSDAQ,114840.KQ
차백신연구소,261780,자연과학 및 공학 연구개발업,백신 및 면역증강제 등,2021-10-22,KOSDAQ,261780.KQ
지아이텍,382480,특수 목적용 기계 제조업,"SLOT DIE, SLIT NOZZLE, REPAIR, 기타",2021-10-21,KOSDAQ,382480.KQ
코닉오토메이션,391710,특수 목적용 기계 제조업,금융 지원 서비스(SPAC),2021-10-15,KOSDAQ,391710.KQ
씨유테크,376290,전자부품 제조업,"휴대폰, 전장 등 실장부품",2021-10-08,KOSDAQ,376290.KQ
아스플로,159010,일반 목적용 기계 제조업,"강관, 피팅, 밸브류 등",2021-10-07,KOSDAQ,159010.KQ
원준,382840,특수 목적용 기계 제조업,2차전지용 열처리 장비,2021-10-07,KOSDAQ,382840.KQ
실리콘투,257720,상품 종합 도매업,화장품 유통,2021-09-29,KOSDAQ,257720.KQ
에스앤디,260970,기타 식품 제조업,"일반기능식품소재, 건강기능식품소재",2021-09-29,KOSDAQ,260970.KQ
프롬바이오,377220,기타 식품 제조업,개별인정형 건강기능식품,2021-09-28,KOSDAQ,377220.KQ
바이오플러스,099430,기초 의약물질 제조업,"생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품",2021-09-27,KOSDAQ,099430.KQ
와이엠텍,273640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",계전기(EV Relay),2021-09-10,KOSDAQ,273640.KQ
에이비온,203400,자연과학 및 공학 연구개발업,"표적 항암제, 바이오 베터 신약",2021-09-08,KOSDAQ,203400.KQ
라이콤,388790,통신 및 방송 장비 제조업,"제조업(광증폭기, 광송수신기, 광섬유레이저 외)",2021-09-03,KOSDAQ,388790.KQ
바이젠셀,308080,자연과학 및 공학 연구개발업,"면역세포치료제 (면역항암제, 면역조절치료제 등)",2021-08-25,KOSDAQ,308080.KQ
브레인즈컴퍼니,099390,소프트웨어 개발 및 공급업,IT 인프라 통합관리 솔루션,2021-08-19,KOSDAQ,099390.KQ
딥노이드,315640,소프트웨어 개발 및 공급업,"의료 인공지능플랫폼, 인공지능 임상의사결정 시스템",2021-08-17,KOSDAQ,315640.KQ
엠로,058970,소프트웨어 개발 및 공급업,"기업용 공급망관리 소프트웨어, AI 디지털혁신 소프트웨어, 공급망관리 클라우드 서비스",2021-08-13,KOSDAQ,058970.KQ
플래티어,367000,소프트웨어 개발 및 공급업,E-Commerce Platform 구축,2021-08-12,KOSDAQ,367000.KQ
원티드랩,376980,소프트웨어 개발 및 공급업,채용 플랫폼,2021-08-11,KOSDAQ,376980.KQ
HK이노엔,195940,의약품 제조업,"전문의약품, 숙취해소음료",2021-08-09,KOSDAQ,195940.KQ
에브리봇,270660,가정용 기기 제조업,"물걸레 로봇청소기, 흡입형 로봇청소기",2021-07-28,KOSDAQ,270660.KQ
비트맥스,377030,소프트웨어 개발 및 공급업,AR 개발 플랫폼/AR솔루션,2021-07-27,KOSDAQ,377030.KQ
큐라클,365270,자연과학 및 공학 연구개발업,혈관질환치료제 등,2021-07-22,KOSDAQ,365270.KQ
오비고,352910,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",스마트카 소프트웨어 플랫폼,2021-07-13,KOSDAQ,352910.KQ
아모센스,357580,전자부품 제조업,무선충전 차폐시트,2021-06-25,KOSDAQ,357580.KQ
이노뎁,303530,소프트웨어 개발 및 공급업,영상인식 및 데이터플랫폼 솔루션,2021-06-18,KOSDAQ,303530.KQ
라온테크,232680,특수 목적용 기계 제조업,반도체 및 FPD용 로봇시스템,2021-06-17,KOSDAQ,232680.KQ
현대ADM,187660,자연과학 및 공학 연구개발업,임상 CRO 서비스,2021-06-03,KOSDAQ,187660.KQ
에코프로에이치엔,383310,기타 화학제품 제조업,환경오염 방지 관련 소재 및 설비,2021-05-28,KOSDAQ,383310.KQ
진시스템,363250,의료용 기기 제조업,분자진단기반 플랫폼 개발 및 제조·판매,2021-05-26,KOSDAQ,363250.KQ
한울앤제주,276730,알코올음료 제조업,맥주,2021-05-26,KOSDAQ,276730.KQ
삼영에스앤씨,361670,전자부품 제조업,"칩형 온습도센서,상대습도센서,미세먼지센서, 공기질 통합센서 노드 및 트랜스미터",2021-05-21,KOSDAQ,361670.KQ
샘씨엔에스,252990,전자부품 제조업,세라믹 STF(다층 세라믹 기판),2021-05-20,KOSDAQ,252990.KQ
씨앤씨인터내셔널,352480,기타 화학제품 제조업,색조 화장품,2021-05-17,KOSDAQ,352480.KQ
에이치피오,357230,기타 식품 제조업,"건강기능식품(유산균, 비타민 등)",2021-05-14,KOSDAQ,357230.KQ
쿠콘,294570,기타 정보 서비스업,"페이먼트서비스(65.2%), 데이터서비스(29.1%) 등",2021-04-28,KOSDAQ,294570.KQ
이삭엔지니어링,351330,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",공장자동화 설비제어,2021-04-21,KOSDAQ,351330.KQ
해성에어로보틱스,059270,기타 금속 가공제품 제조업,기어 및 동력전달장치,2021-04-21,KOSDAQ,059270.KQ
엔시스,333620,기타 전기장비 제조업,2차전지 머신비전 검사장비,2021-04-01,KOSDAQ,333620.KQ
자이언트스텝,289220,"영화, 비디오물, 방송프로그램 제작 및 배급업","광고VFX, 영상VFX 및 리얼타임 콘텐츠 제작",2021-03-24,KOSDAQ,289220.KQ
제노코,361390,통신 및 방송 장비 제조업,"위성탑재체, 위성운용국, 항공전자 등",2021-03-24,KOSDAQ,361390.KQ
스피어,347700,소프트웨어 개발 및 공급업,우주항공산업 관련 부품 등 판매 / 디지털헬스 소프트웨어 개발 및 공급,2021-03-23,KOSDAQ,347700.KQ
바이오다인,314930,의료용 기기 제조업,액상세포검사 장비 및 소모품,2021-03-17,KOSDAQ,314930.KQ
네오이뮨텍,950220,자연과학 및 공학 연구개발업,면역항암제,2021-03-16,KOSDAQ,950220.KQ
싸이버원,356890,소프트웨어 개발 및 공급업,보안관제 및 보안컨설팅 등,2021-03-11,KOSDAQ,356890.KQ
프레스티지바이오로직스,334970,의약품 제조업,바이오시밀러 제조,2021-03-11,KOSDAQ,334970.KQ
나노씨엠에스,247660,전자부품 제조업,"근적외선 흡수/반사 안료, 자외선 유기형광 안료, 적외선 발광체",2021-03-09,KOSDAQ,247660.KQ
뷰노,338220,소프트웨어 개발 및 공급업,"뷰노메드 음성솔루션, 뷰노메드 영상솔루션, 기타 솔루션 등",2021-02-26,KOSDAQ,338220.KQ
엑스플러스,373200,그외 기타 제품 제조업,모바일 IT응용제품 외,2021-02-26,KOSDAQ,373200.KQ
유일에너테크,340930,특수 목적용 기계 제조업,2차전지 제조장비,2021-02-25,KOSDAQ,340930.KQ
씨이랩,189330,소프트웨어 개발 및 공급업,빅데이터플랫폼,2021-02-24,KOSDAQ,189330.KQ
오로스테크놀로지,322310,특수 목적용 기계 제조업,반도체 Overlay 계측 장비,2021-02-24,KOSDAQ,322310.KQ
피엔에이치테크,239890,기초 화학물질 제조업,OLED 소재,2021-02-16,KOSDAQ,239890.KQ
모비데이즈,363260,광고업,기업인수합병,2021-02-10,KOSDAQ,363260.KQ
아이퀘스트,262840,소프트웨어 개발 및 공급업,"패키지 ERP, 구축형 ERP 등",2021-02-05,KOSDAQ,262840.KQ
레인보우로보틱스,277810,특수 목적용 기계 제조업,"협동로봇, 천문마운트시스템, 이족보행로봇 등",2021-02-03,KOSDAQ,277810.KQ
아티스트컴퍼니,321820,소프트웨어 개발 및 공급업,빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼,2021-02-03,KOSDAQ,321820.KQ
핑거,163730,소프트웨어 개발 및 공급업,"스마트 금융 플랫폼, 핀테크 금융 솔루션",2021-01-29,KOSDAQ,163730.KQ
모비릭스,348030,소프트웨어 개발 및 공급업,모바일 게임 개발 및 퍼블리싱,2021-01-28,KOSDAQ,348030.KQ
씨앤투스,352700,화학섬유 제조업,"에어필터, 산업용 및 보건용 마스크",2021-01-28,KOSDAQ,352700.KQ
선진뷰티사이언스,086710,기타 화학제품 제조업,화장품 원료,2021-01-27,KOSDAQ,086710.KQ
엔비티,236810,광고업,모바일 포인트 광고 플랫폼,2021-01-21,KOSDAQ,236810.KQ
파이버프로,368770,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",광섬유 관성센서 및 관성 측정장치,2021-01-21,KOSDAQ,368770.KQ
블리츠웨이엔터테인먼트,369370,창작 및 예술관련 서비스업,창작 및 예술관련 서비스,2020-12-23,KOSDAQ,369370.KQ
석경에이티,357550,기초 화학물질 제조업,바이오 및 전기전자 나노 소재,2020-12-23,KOSDAQ,357550.KQ
지놈앤컴퍼니,314130,기초 의약물질 제조업,"마이크로바이옴 기반 치료제, 화장품, 건강기능식품",2020-12-23,KOSDAQ,314130.KQ
프리시젼바이오,335810,의료용 기기 제조업,체외진단 기기 및 시약,2020-12-22,KOSDAQ,335810.KQ
알체라,347860,소프트웨어 개발 및 공급업,"얼굴인식 AI, 이상상황 감지 AI 등",2020-12-21,KOSDAQ,347860.KQ
하이딥,365590,반도체 제조업,UIUX Solution,2020-12-21,KOSDAQ,365590.KQ
에프앤가이드,064850,기타 정보 서비스업,"금융정보서비스, INDEX, 펀드평가 등",2020-12-17,KOSDAQ,064850.KQ
티엘비,356860,전자부품 제조업,SSD Module / DRAM Module PCB,2020-12-14,KOSDAQ,356860.KQ
인바이오,352940,"비료, 농약 및 살균, 살충제 제조업","살균제, 살충제, 제초제 등",2020-12-11,KOSDAQ,352940.KQ
엔젠바이오,354200,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매",2020-12-10,KOSDAQ,354200.KQ
퀀타매트릭스,317690,의료용 기기 제조업,신속항균제검사 장비 및 키트,2020-12-09,KOSDAQ,317690.KQ
셀레스트라,352770,의료용품 및 기타 의약 관련제품 제조업,"Geno Series, CD-PRIME, Cancer Prime",2020-12-04,KOSDAQ,352770.KQ
포인트모바일,318020,컴퓨터 및 주변장치 제조업,산업용 PDA,2020-12-03,KOSDAQ,318020.KQ
앱코,129890,컴퓨터 및 주변장치 제조업,"게이밍기어, 뉴라이프가전 등",2020-12-02,KOSDAQ,129890.KQ
엔에프씨,265740,기타 화학제품 제조업,화장품 원료 제조 및 판매,2020-12-02,KOSDAQ,265740.KQ
제일일렉트릭,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","PCB Assay, 배선기구, 분전반 등",2020-11-26,KOSDAQ,199820.KQ
하나기술,299030,특수 목적용 기계 제조업,이차전지 양산 자동화 설비 제조,2020-11-25,KOSDAQ,299030.KQ
티앤엘,340570,의료용품 및 기타 의약 관련제품 제조업,"창상치료재, 정형외과용 고정재",2020-11-20,KOSDAQ,340570.KQ
고바이오랩,348150,자연과학 및 공학 연구개발업,마이크로바이옴 치료제 및 건강기능식품,2020-11-18,KOSDAQ,348150.KQ
네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트 서비스,2020-11-17,KOSDAQ,330860.KQ
소룩스,290690,전구 및 조명장치 제조업,"실내등(형광등, LED등), 실외등, 특수등",2020-11-06,KOSDAQ,290690.KQ
위드텍,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","AMCs 모니터링 시스템, 공정 프로세스 모니터링 시스템, TMS",2020-10-30,KOSDAQ,348350.KQ
센코,347000,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","가스센서 및 모듈, 휴대용 및 고정형 가스검지기, 악취 & 미세먼지 모니터링 시스템",2020-10-29,KOSDAQ,347000.KQ
바이브컴퍼니,301300,소프트웨어 개발 및 공급업,"소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)",2020-10-28,KOSDAQ,301300.KQ
더바이오메드,214610,의료용 기기 제조업,체외진단용 의료기기,2020-10-22,KOSDAQ,214610.KQ
피플바이오,304840,의료용품 및 기타 의약 관련제품 제조업,올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단),2020-10-19,KOSDAQ,304840.KQ
넥스틴,348210,특수 목적용 기계 제조업,반도체 전공정용 패턴결함 검사장비(AEGIS 등),2020-10-08,KOSDAQ,348210.KQ
케이엔솔,053080,일반 목적용 기계 제조업,클린룸 설비,2020-09-24,KOSDAQ,053080.KQ
비나텍,126340,일차전지 및 이차전지 제조업,초고용량 커패시터(슈퍼커패시터),2020-09-23,KOSDAQ,126340.KQ
씨엔알리서치,359090,"그외 기타 전문, 과학 및 기술 서비스업",금융 지원 서비스,2020-09-23,KOSDAQ,359090.KQ
박셀바이오,323990,자연과학 및 공학 연구개발업,"항암면역세포치료제(자연살해세포, 수지상세포, CAR-T 및 인터루킨 기반 항암제)",2020-09-22,KOSDAQ,323990.KQ
비비씨,318410,기타 화학제품 제조업,덴탈 케어용 소재(테이퍼모 등),2020-09-21,KOSDAQ,318410.KQ
코스텍시스,355150,반도체 제조업,RF PKG. Spacer,2020-09-18,KOSDAQ,355150.KQ
핌스,347770,전자부품 제조업,OLED Metal Mask,2020-09-18,KOSDAQ,347770.KQ
압타머사이언스,291650,자연과학 및 공학 연구개발업,압타머기반 신약개발 및 진단제품 개발,2020-09-16,KOSDAQ,291650.KQ
이오플로우,294090,의료용 기기 제조업,웨어러블 인슐린펌프,2020-09-14,KOSDAQ,294090.KQ
카카오게임즈,293490,소프트웨어 개발 및 공급업,"모바일, PC게임 퍼블리싱",2020-09-10,KOSDAQ,293490.KQ
피엔케이피부임상연구센타,347740,"그외 기타 전문, 과학 및 기술 서비스업",피부인체적용시험,2020-09-09,KOSDAQ,347740.KQ
아이디피,332370,컴퓨터 및 주변장치 제조업,"카드인쇄용 프린터, 카드인쇄용 리본",2020-08-24,KOSDAQ,332370.KQ
셀레믹스,331920,기초 의약물질 제조업,타겟캡처키트,2020-08-21,KOSDAQ,331920.KQ
고스트스튜디오,950190,소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임",2020-08-18,KOSDAQ,950190.KQ
젝시믹스,337930,기타 정보 서비스업,"애슬레저의류, 생활/청결 용품",2020-08-13,KOSDAQ,337930.KQ
영림원소프트랩,060850,소프트웨어 개발 및 공급업,"ERP Package, 유지 관리 등",2020-08-12,KOSDAQ,060850.KQ
한국파마,032300,의약품 제조업,"완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)",2020-08-10,KOSDAQ,032300.KQ
솔브레인,357780,기타 화학제품 제조업,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등,2020-08-06,KOSDAQ,357780.KQ
PS일렉트로닉스,332570,전자부품 제조업,전력증폭기 모듈(PAM),2020-07-31,KOSDAQ,332570.KQ
에코앤드림,101360,기타 화학제품 제조업,배출가스 저감용 촉매 및 이차전지 양극활물질 전구체,2020-07-30,KOSDAQ,101360.KQ
엠투아이,347890,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","스마트HMI, 스마트SCADA, 스마트팩토리솔루션",2020-07-29,KOSDAQ,347890.KQ
더네이쳐홀딩스,298540,의복 액세서리 제조업,"의류, 여행용 가방 및 잡화류",2020-07-27,KOSDAQ,298540.KQ
제놀루션,225220,기초 의약물질 제조업,"핵산추출기기 및 시약, RNAi 사업 등",2020-07-24,KOSDAQ,225220.KQ
솔트룩스,304100,소프트웨어 개발 및 공급업,인공지능 및 빅데이터 소프트웨어,2020-07-23,KOSDAQ,304100.KQ
티에스아이,277880,특수 목적용 기계 제조업,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)",2020-07-22,KOSDAQ,277880.KQ
에이프로,262260,기타 전기장비 제조업,"2차전지 장비 등(일반충방전기, 고온가압 충방전기 등)",2020-07-16,KOSDAQ,262260.KQ
소마젠,950200,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분석 서비스 (NGS, CES 등)",2020-07-13,KOSDAQ,950200.KQ
신도기연,290520,특수 목적용 기계 제조업,"OLED용 후공정장비(라미네이터, 오토클레이브 등)",2020-07-06,KOSDAQ,290520.KQ
위더스제약,330350,의약품 제조업,의약품 제조 및 도소매(순환기용제 등),2020-07-03,KOSDAQ,330350.KQ
엠브레인,169330,시장조사 및 여론조사업,온라인 및 오프라인 리서치,2020-07-01,KOSDAQ,169330.KQ
젠큐릭스,229000,의료용품 및 기타 의약 관련제품 제조업,유방암 예후진단 및 폐암/대장암 동반진단 제품/검사서비스,2020-06-25,KOSDAQ,229000.KQ
HB솔루션,297890,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,KOSDAQ,297890.KQ
넥사다이내믹스,351320,특수 목적용 기계 제조업,기업인수목적회사,2020-06-22,KOSDAQ,351320.KQ
에스씨엠생명과학,298060,의약품 제조업,세포치료제,2020-06-17,KOSDAQ,298060.KQ
휴럼,353190,기타 식품 제조업,금융지원 서비스,2020-06-17,KOSDAQ,353190.KQ
이지바이오,353810,동물용 사료 및 조제식품 제조업,"자돈사료, 사료첨가제",2020-06-05,KOSDAQ,353810.KQ
드림씨아이에스,223250,자연과학 및 공학 연구개발업,시판후조사대행(rPMS),2020-05-22,KOSDAQ,223250.KQ
캐프,198080,전자부품 제조업,스마트폰 OLED용 FPCA,2020-03-16,KOSDAQ,198080.KQ
플레이디,237820,광고업,온라인 광고 대행,2020-03-12,KOSDAQ,237820.KQ
서울바이오시스,092190,반도체 제조업,"Visible LED, UV LED",2020-03-06,KOSDAQ,092190.KQ
제이앤티씨,204270,전자부품 제조업,"강화유리, 커넥터",2020-03-04,KOSDAQ,204270.KQ
켄코아에어로스페이스,274090,"항공기,우주선 및 부품 제조업",항공가공품 및 조립품,2020-03-03,KOSDAQ,274090.KQ
레몬,294140,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등",2020-02-28,KOSDAQ,294140.KQ
서남,294630,기타 전기장비 제조업,고온초전도선재,2020-02-20,KOSDAQ,294630.KQ
위세아이텍,065370,소프트웨어 개발 및 공급업,"빅데이터분석, 인공지능, 데이터품질관리 솔루션",2020-02-10,KOSDAQ,065370.KQ
세림B&G,340440,플라스틱제품 제조업,기업인수,2019-12-27,KOSDAQ,340440.KQ
CJ 바이오사이언스,311690,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",2019-12-26,KOSDAQ,311690.KQ
한국첨단소재,062970,통신 및 방송 장비 제조업,"데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등",2019-12-26,KOSDAQ,062970.KQ
RF머트리얼즈,327260,전자부품 제조업,"광통신, RF통신용 패키지",2019-12-24,KOSDAQ,327260.KQ
아이비김영,339950,일반 교습 학원,"오프라인 학원, 온라인강의",2019-12-24,KOSDAQ,339950.KQ
브릿지바이오,288330,기초 의약물질 제조업,"펠리노-1 단백질 저해제, 오토택신 저해제",2019-12-20,KOSDAQ,288330.KQ
다보링크,340360,통신 및 방송 장비 제조업,"AP, APController 외",2019-12-19,KOSDAQ,340360.KQ
메드팩토,235980,자연과학 및 공학 연구개발업,항암제 신약개발,2019-12-19,KOSDAQ,235980.KQ
원텍,336570,의료용 기기 제조업,기업 인수 및 합병,2019-12-19,KOSDAQ,336570.KQ
신테카바이오,226330,소프트웨어 개발 및 공급업,유전체 빅데이터 기반의 AI신약개발 및 정밀의료서비스,2019-12-17,KOSDAQ,226330.KQ
제이엘케이,322510,소프트웨어 개발 및 공급업,"인공지능 기반 의료영상 진단 플랫폼, 인공지능 기반 산업용 X-ray 판독시스템",2019-12-11,KOSDAQ,322510.KQ
태웅로직스,124560,기타 운송관련 서비스업,"3자물류주선 (복합운송, 프로젝트운송, CIS운송 등)",2019-12-10,KOSDAQ,124560.KQ
윙스풋,335870,"섬유, 의복, 신발 및 가죽제품 소매업",신발 매입 및 공급,2019-12-09,KOSDAQ,335870.KQ
리메드,302550,의료용 기기 제조업,자기장 치료기기,2019-12-06,KOSDAQ,302550.KQ
비올,335890,의료용 기기 제조업,의료기기,2019-12-03,KOSDAQ,335890.KQ
웨이버스,336060,소프트웨어 개발 및 공급업,금융 지원 서비스,2019-11-28,KOSDAQ,336060.KQ
HLB바이오스텝,278650,자연과학 및 공학 연구개발업,비임상실험 유효성(약리)평가,2019-11-27,KOSDAQ,278650.KQ
티움바이오,321550,자연과학 및 공학 연구개발업,"특발성폐섬유증 치료제, 면역항암제, 자궁내막증치료제, 혈우병치료제",2019-11-22,KOSDAQ,321550.KQ
씨에스베어링,297090,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링",2019-11-21,KOSDAQ,297090.KQ
우양,103840,"과실, 채소 가공 및 저장 처리업","HMR, 음료 베이스, 퓨레 등",2019-11-20,KOSDAQ,103840.KQ
코리아에셋투자증권,190650,금융 지원 서비스업,"IB금융자문, 채권인수 및 매매, 투자중개, 펀드운용 등",2019-11-20,KOSDAQ,190650.KQ
에스제이그룹,306040,"가죽, 가방 및 유사제품 제조업","캉골 가방/모자, 헬렌카민스키 모자",2019-11-18,KOSDAQ,306040.KQ
제테마,216080,의료용품 및 기타 의약 관련제품 제조업,"히알루론산 필러(조직수복용생체재료), 피부과용 레이저 의료기기, 리프팅실 등",2019-11-14,KOSDAQ,216080.KQ
라파스,214260,기타 화학제품 제조업,"마이크로니들 패치 제품(의약품패치, 의료기기패치, 미용패치 등)",2019-11-11,KOSDAQ,214260.KQ
아이티엠반도체,084850,전자부품 제조업,배터리 보호회로,2019-11-07,KOSDAQ,084850.KQ
일승,333430,선박 및 보트 건조업,환경장비,2019-11-06,KOSDAQ,333430.KQ
미디어젠,279600,소프트웨어 개발 및 공급업,음성인식 소프트웨어 기술개발,2019-11-05,KOSDAQ,279600.KQ
LS티라유텍,322180,소프트웨어 개발 및 공급업,스마트팩토리 솔루션,2019-10-31,KOSDAQ,322180.KQ
모코엠시스,333050,소프트웨어 개발 및 공급업,"연계솔루션, 보안솔루션, APM솔루션",2019-10-31,KOSDAQ,333050.KQ
밸로프,331520,소프트웨어 개발 및 공급업,기업인수합병,2019-10-29,KOSDAQ,331520.KQ
캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상 콘텐츠(30.05%), 공연(29.76%), 키즈카페(17.38%), 커머스(12.77%), 라이선스 및 기타(10.04%)",2019-10-29,KOSDAQ,317530.KQ
케이엔제이,272110,반도체 제조업,"Edge Grinder, CVD-SiC Ring",2019-10-25,KOSDAQ,272110.KQ
엔바이오니아,317870,그외 기타 제품 제조업,양전하필터(정수기),2019-10-24,KOSDAQ,317870.KQ
팜스빌,318010,기타 식품 제조업,다이어트 제품 및 건강기능 관련 제품,2019-10-22,KOSDAQ,318010.KQ
라온피플,300120,소프트웨어 개발 및 공급업,"카메라 모듈 검사기, AI 머신비전, 골프센서",2019-10-18,KOSDAQ,300120.KQ
아톤,158430,소프트웨어 개발 및 공급업,"모바일금융솔루션, mOTP 개발",2019-10-17,KOSDAQ,158430.KQ
녹십자웰빙,234690,의약품 제조업,"전문의약품, 건강기능식품",2019-10-14,KOSDAQ,234690.KQ
누보,332290,"비료, 농약 및 살균, 살충제 제조업",기업 인수 및 합병,2019-10-11,KOSDAQ,332290.KQ
포커스에이아이,331380,영상 및 음향기기 제조업,영상저장장치 및 카메라,2019-10-02,KOSDAQ,331380.KQ
올리패스,244460,기초 의약물질 제조업,인공유전자 플랫폼(OliPass PNA) 기술을 활용한 RNA치료제 신약개발,2019-09-20,KOSDAQ,244460.KQ
라닉스,317120,반도체 제조업,"자동차 및 IoT 통신, 보안솔루션",2019-09-18,KOSDAQ,317120.KQ
한울반도체,320000,특수 목적용 기계 제조업,비전검사장비,2019-09-18,KOSDAQ,320000.KQ
한독크린텍,256150,일반 목적용 기계 제조업,정수기 필터,2019-09-05,KOSDAQ,256150.KQ
네오크레마,311390,기타 식품 제조업,기능성 식품 원료,2019-08-22,KOSDAQ,311390.KQ
마니커에프앤지,195500,"도축, 육류 가공 및 저장 처리업","육가공품, 튀김류, 패티류, 삼계탕 등",2019-08-20,KOSDAQ,195500.KQ
솔트웨어,328380,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",enView,2019-08-20,KOSDAQ,328380.KQ
나노실리칸첨단소재,286750,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",2019-08-19,KOSDAQ,286750.KQ
에스피시스템스,317830,특수 목적용 기계 제조업,산업용 갠트리 로봇,2019-08-14,KOSDAQ,317830.KQ
레이,228670,의료용 기기 제조업,"디지털 치료솔루션(CT scan 장비, 3D 프린터), 디지털 진단시스템(X-ray, CT 등)",2019-08-08,KOSDAQ,228670.KQ
그린플러스,186230,1차 비철금속 제조업,"첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품",2019-08-07,KOSDAQ,186230.KQ
코윈테크,282880,특수 목적용 기계 제조업,"공정자동화설비(2차전지,석유화학,반도체,디스플레이)",2019-08-05,KOSDAQ,282880.KQ
덕산테코피아,317330,기타 화학제품 제조업,"OLED 소재, 반도체 소재",2019-08-02,KOSDAQ,317330.KQ
KBG,318000,합성고무 및 플라스틱 물질 제조업,"실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)",2019-08-01,KOSDAQ,318000.KQ
엑스페릭스,317770,전자부품 제조업,"지문인식 등록, 인증 기기 및 솔루션",2019-08-01,KOSDAQ,317770.KQ
세경하이테크,148150,전자부품 제조업,DECO Film 및 기타 TAPE 제조,2019-07-30,KOSDAQ,148150.KQ
캐리,313760,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",태양광 인버터 등,2019-07-25,KOSDAQ,313760.KQ
