company_name,stock_code,market,ticker
그린생명과학,114450,KOSDAQ,114450.KQ
그린케미칼,083420,KOSPI,083420.KS
그린플러스,186230,KOSDAQ,186230.KQ
극동유화,014530,KOSPI,014530.KS
GST,083450,KOSDAQ,083450.KQ
글로벌에스엠,900070,KOSDAQ,900070.KQ
글로벌텍스프리,204620,KOSDAQ,204620.KQ
글로본,019660,KOSDAQ,019660.KQ
금강공업우,014285,KOSPI,014285.KS
금강공업,014280,KOSPI,014280.KS
금강철강,053260,KOSDAQ,053260.KQ
금비,008870,KOSPI,008870.KS
금양그린파워,282720,KOSDAQ,282720.KQ
금양,001570,KOSPI,001570.KS
금호건설우,002995,KOSPI,002995.KS
금호건설,002990,KOSPI,002990.KS
금호석유화학우,011785,KOSPI,011785.KS
금호석유화학,011780,KOSPI,011780.KS
금호에이치티,214330,KOSPI,214330.KS
금호전기,001210,KOSPI,001210.KS
금호타이어,073240,KOSPI,073240.KS
금화피에스시,036190,KOSDAQ,036190.KQ
기가레인,049080,KOSDAQ,049080.KQ
기가비스,420770,KOSDAQ,420770.KQ
기산텔레콤,035460,KOSDAQ,035460.KQ
기신정기,092440,KOSPI,092440.KS
기아,000270,KOSPI,000270.KS
까뮤이앤씨,013700,KOSPI,013700.KS
깨끗한나라우,004545,KOSPI,004545.KS
깨끗한나라,004540,KOSPI,004540.KS
꿈비,407400,KOSDAQ,407400.KQ
나노,187790,KOSDAQ,187790.KQ
나노신소재,121600,KOSDAQ,121600.KQ
나노실리칸첨단소재,286750,KOSDAQ,286750.KQ
나노씨엠에스,247660,KOSDAQ,247660.KQ
나노엔텍,039860,KOSDAQ,039860.KQ
나노캠텍,091970,KOSDAQ,091970.KQ
나노팀,417010,KOSDAQ,417010.KQ
나라셀라,405920,KOSDAQ,405920.KQ
나라엠앤디,051490,KOSDAQ,051490.KQ
나래나노텍,137080,KOSDAQ,137080.KQ
나무가,190510,KOSDAQ,190510.KQ
나무기술,242040,KOSDAQ,242040.KQ
나우로보틱스,459510,KOSDAQ,459510.KQ
나우IB,293580,KOSDAQ,293580.KQ
나이벡,138610,KOSDAQ,138610.KQ
나이스디앤비,130580,KOSDAQ,130580.KQ
나이스정보통신,036800,KOSDAQ,036800.KQ
NICE평가정보,030190,KOSPI,030190.KS
나인테크,267320,KOSDAQ,267320.KQ
남광토건,001260,KOSPI,001260.KS
남선알미우,008355,KOSPI,008355.KS
남선알미늄,008350,KOSPI,008350.KS
남성,004270,KOSPI,004270.KS
남양유업우,003925,KOSPI,003925.KS
남양유업,003920,KOSPI,003920.KS
남해화학,025860,KOSPI,025860.KS
남화산업,111710,KOSDAQ,111710.KQ
남화토건,091590,KOSDAQ,091590.KQ
내츄럴엔도텍,168330,KOSDAQ,168330.KQ
네오리진,094860,KOSDAQ,094860.KQ
네오셈,253590,KOSDAQ,253590.KQ
네오오토,212560,KOSDAQ,212560.KQ
네오위즈,095660,KOSDAQ,095660.KQ
네오위즈홀딩스,042420,KOSDAQ,042420.KQ
네오이뮨텍,950220,KOSDAQ,950220.KQ
네오크레마,311390,KOSDAQ,311390.KQ
네오티스,085910,KOSDAQ,085910.KQ
네오팜,092730,KOSDAQ,092730.KQ
네오펙트,290660,KOSDAQ,290660.KQ
네온테크,306620,KOSDAQ,306620.KQ
네이블,153460,KOSDAQ,153460.KQ
네이처셀,007390,KOSDAQ,007390.KQ
네패스,033640,KOSDAQ,033640.KQ
네패스아크,330860,KOSDAQ,330860.KQ
넥사다이내믹스,351320,KOSDAQ,351320.KQ
넥센우,005725,KOSPI,005725.KS
넥센,005720,KOSPI,005720.KS
넥센타이어1우B,002355,KOSPI,002355.KS
넥센타이어,002350,KOSPI,002350.KS
넥스턴바이오,089140,KOSDAQ,089140.KQ
넥스트바이오메디컬,389650,KOSDAQ,389650.KQ
넥스트아이,137940,KOSDAQ,137940.KQ
NEW,160550,KOSDAQ,160550.KQ
넥스트칩,396270,KOSDAQ,396270.KQ
넥스틴,348210,KOSDAQ GLOBAL,348210.KQ
넥스틸,092790,KOSPI,092790.KS
넥슨게임즈,225570,KOSDAQ,225570.KQ
넥써쓰,205500,KOSDAQ,205500.KQ
넵튠,217270,KOSDAQ,217270.KQ
넷마블,251270,KOSPI,251270.KS
노랑풍선,104620,KOSDAQ,104620.KQ
노루페인트우,090355,KOSPI,090355.KS
노루페인트,090350,KOSPI,090350.KS
노루홀딩스우,000325,KOSPI,000325.KS
노루홀딩스,000320,KOSPI,000320.KS
노머스,473980,KOSDAQ,473980.KQ
노바렉스,194700,KOSDAQ,194700.KQ
노바텍,285490,KOSDAQ,285490.KQ
노브랜드,145170,KOSDAQ,145170.KQ
노블엠앤비,106520,KOSDAQ,106520.KQ
노을,376930,KOSDAQ,376930.KQ
녹십자,006280,KOSPI,006280.KS
녹십자엠에스,142280,KOSDAQ,142280.KQ
녹십자웰빙,234690,KOSDAQ,234690.KQ
녹십자홀딩스2우,005257,KOSPI,005257.KS
녹십자홀딩스,005250,KOSPI,005250.KS
농심,004370,KOSPI,004370.KS
농심홀딩스,072710,KOSPI,072710.KS
아시아종묘,154030,KOSDAQ,154030.KQ
농우바이오,054050,KOSDAQ,054050.KQ
우듬지팜,403490,KOSDAQ,403490.KQ
누리플랜,069140,KOSDAQ,069140.KQ
누리플렉스,040160,KOSDAQ,040160.KQ
누보,332290,KOSDAQ,332290.KQ
뉴로메카,348340,KOSDAQ,348340.KQ
뉴보텍,060260,KOSDAQ,060260.KQ
뉴엔AI,463020,KOSDAQ,463020.KQ
뉴온,123840,KOSDAQ,123840.KQ
뉴인텍,012340,KOSDAQ,012340.KQ
뉴키즈온,462310,KOSDAQ,462310.KQ
뉴트리,270870,KOSDAQ,270870.KQ
뉴파워프라즈마,144960,KOSDAQ,144960.KQ
뉴프렉스,085670,KOSDAQ,085670.KQ
다날,064260,KOSDAQ,064260.KQ
다보링크,340360,KOSDAQ,340360.KQ
다산네트웍스,039560,KOSDAQ,039560.KQ
다산솔루에타,154040,KOSDAQ,154040.KQ
다스코,058730,KOSPI,058730.KS
다올투자증권,030210,KOSPI,030210.KS
다우기술,023590,KOSPI,023590.KS
다우데이타,032190,KOSDAQ,032190.KQ
다원넥스뷰,323350,KOSDAQ,323350.KQ
다원시스,068240,KOSDAQ,068240.KQ
다이나믹디자인,145210,KOSPI,145210.KS
달바글로벌,483650,KOSPI,483650.KS
닷밀,464580,KOSDAQ,464580.KQ
대교,019680,KOSPI,019680.KS
대교우B,019685,KOSPI,019685.KS
대구백화점,006370,KOSPI,006370.KS
대덕1우,00806K,KOSPI,00806K.KS
대덕,008060,KOSPI,008060.KS
대덕전자,353200,KOSPI,353200.KS
대덕전자1우,35320K,KOSPI,35320K.KS
대동금속,020400,KOSDAQ,020400.KQ
대동기어,008830,KOSDAQ,008830.KQ
대동,000490,KOSPI,000490.KS
대동스틸,048470,KOSDAQ,048470.KQ
대동전자,008110,KOSPI,008110.KS
대륙제관,004780,KOSDAQ,004780.KQ
대림바스,005750,KOSPI,005750.KS
대림제지,017650,KOSDAQ,017650.KQ
대림통상,006570,KOSPI,006570.KS
대명에너지,389260,KOSDAQ,389260.KQ
대모,317850,KOSDAQ,317850.KQ
대보마그네틱,290670,KOSDAQ,290670.KQ
대봉엘에스,078140,KOSDAQ,078140.KQ
대산F&B,065150,KOSDAQ,065150.KQ
대상우,001685,KOSPI,001685.KS
대상,001680,KOSPI,001680.KS
대상홀딩스우,084695,KOSPI,084695.KS
대상홀딩스,084690,KOSPI,084690.KS
대성미생물,036480,KOSDAQ,036480.KQ
대성산업,128820,KOSPI,128820.KS
대성에너지,117580,KOSPI,117580.KS
대성창투,027830,KOSDAQ,027830.KQ
대성파인텍,104040,KOSDAQ,104040.KQ
대성하이텍,129920,KOSDAQ,129920.KQ
대성홀딩스,016710,KOSPI,016710.KS
대신밸런스제16호스팩,457630,KOSDAQ,457630.KQ
대신밸런스제17호스팩,471050,KOSDAQ,471050.KQ
대신밸런스제18호스팩,478780,KOSDAQ,478780.KQ
대신밸런스제19호스팩,482690,KOSDAQ,482690.KQ
대신밸류리츠,0030R0,KOSPI,0030R0.KS
대신정보통신,020180,KOSDAQ,020180.KQ
대신증권우,003545,KOSPI,003545.KS
대신증권2우B,003547,KOSPI,003547.KS
대신증권,003540,KOSPI,003540.KS
대아티아이,045390,KOSDAQ,045390.KQ
대양금속,009190,KOSPI,009190.KS
대양전기공업,108380,KOSDAQ,108380.KQ
대영포장,014160,KOSPI,014160.KS
대우건설,047040,KOSPI,047040.KS
대웅,003090,KOSPI,003090.KS
대웅제약,069620,KOSPI,069620.KS
대원,007680,KOSDAQ,007680.KQ
대원강업,000430,KOSPI,000430.KS
대원미디어,048910,KOSDAQ,048910.KQ
대원산업,005710,KOSDAQ,005710.KQ
대원전선우,006345,KOSPI,006345.KS
대원전선,006340,KOSPI,006340.KS
대원제약,003220,KOSPI,003220.KS
대원화성,024890,KOSPI,024890.KS
대유,290380,KOSDAQ,290380.KQ
대유에이텍,002880,KOSPI,002880.KS
대정화금,120240,KOSDAQ,120240.KQ
대주산업,003310,KOSDAQ,003310.KQ
대주전자재료,078600,KOSDAQ,078600.KQ
대진첨단소재,393970,KOSDAQ,393970.KQ
대창단조,015230,KOSPI,015230.KS
대창,012800,KOSPI,012800.KS
대창솔루션,096350,KOSDAQ,096350.KQ
대창스틸,140520,KOSDAQ,140520.KQ
대한과학,131220,KOSDAQ,131220.KQ
대한광통신,010170,KOSDAQ,010170.KQ
대한뉴팜,054670,KOSDAQ,054670.KQ
대한방직,001070,KOSPI,001070.KS
대한약품,023910,KOSDAQ,023910.KQ
대한유화,006650,KOSPI,006650.KS
대한전선,001440,KOSPI,001440.KS
대한제강,084010,KOSPI,084010.KS
대한제당우,001795,KOSPI,001795.KS
대한제당,001790,KOSPI,001790.KS
대한제분,001130,KOSPI,001130.KS
대한항공우,003495,KOSPI,003495.KS
대한항공,003490,KOSPI,003490.KS
대한해운,005880,KOSPI,005880.KS
대한화섬,003830,KOSPI,003830.KS
대현,016090,KOSPI,016090.KS
대호에이엘,069460,KOSPI,069460.KS
대호특수강,021040,KOSDAQ,021040.KQ
대호특수강우,021045,KOSDAQ,021045.KQ
대화제약,067080,KOSDAQ,067080.KQ
더테크놀로지,043090,KOSDAQ,043090.KQ
더네이쳐홀딩스,298540,KOSDAQ,298540.KQ
더라미,032860,KOSDAQ,032860.KQ
더바이오메드,214610,KOSDAQ,214610.KQ
더본코리아,475560,KOSPI,475560.KS
더블유게임즈,192080,KOSPI,192080.KS
더블유씨피,393890,KOSDAQ GLOBAL,393890.KQ
더블유에스아이,299170,KOSDAQ,299170.KQ
THE E&M,089230,KOSDAQ,089230.KQ
더존비즈온,012510,KOSPI,012510.KS
더즌,462860,KOSDAQ,462860.KQ
더코디,224060,KOSDAQ,224060.KQ
THE CUBE&,013720,KOSDAQ,013720.KQ
덕산네오룩스,213420,KOSDAQ GLOBAL,213420.KQ
덕산테코피아,317330,KOSDAQ,317330.KQ
덕산하이메탈,077360,KOSDAQ,077360.KQ
덕성우,004835,KOSPI,004835.KS
덕성,004830,KOSPI,004830.KS
덕신이피씨,090410,KOSDAQ,090410.KQ
덕우전자,263600,KOSDAQ,263600.KQ
데브시스터즈,194480,KOSDAQ,194480.KQ
데이원컴퍼니,373160,KOSDAQ,373160.KQ
데이타솔루션,263800,KOSDAQ,263800.KQ
덱스터,206560,KOSDAQ,206560.KQ
덴티스,261200,KOSDAQ,261200.KQ
덴티움,145720,KOSPI,145720.KS
도이치모터스,067990,KOSDAQ,067990.KQ
도화엔지니어링,002150,KOSPI,002150.KS
동구바이오제약,006620,KOSDAQ,006620.KQ
동국산업,005160,KOSDAQ,005160.KQ
동국생명과학,303810,KOSDAQ,303810.KQ
동국씨엠,460850,KOSPI,460850.KS
동국알앤에스,075970,KOSDAQ,075970.KQ
동국S&C,100130,KOSDAQ,100130.KQ
동국제강,460860,KOSPI,460860.KS
동국제약,086450,KOSDAQ GLOBAL,086450.KQ
동국홀딩스,001230,KOSPI,001230.KS
동방메디컬,240550,KOSDAQ,240550.KQ
동방,004140,KOSPI,004140.KS
동방선기,099410,KOSDAQ,099410.KQ
동방아그로,007590,KOSPI,007590.KS
동부건설우,005965,KOSPI,005965.KS
동부건설,005960,KOSPI,005960.KS
동서,026960,KOSPI,026960.KS
동성제약,002210,KOSPI,002210.KS
동성케미컬,102260,KOSPI,102260.KS
동성화인텍,033500,KOSDAQ,033500.KQ
동신건설,025950,KOSDAQ,025950.KQ
동아쏘시오홀딩스,000640,KOSPI,000640.KS
동아에스티,170900,KOSPI,170900.KS
동아엘텍,088130,KOSDAQ,088130.KQ
동아지질,028100,KOSPI,028100.KS
동아화성,041930,KOSDAQ,041930.KQ
동양우,001525,KOSPI,001525.KS
동양2우B,001527,KOSPI,001527.KS
동양고속,084670,KOSPI,084670.KS
동양,001520,KOSPI,001520.KS
동양생명,082640,KOSPI,082640.KS
동양에스텍,060380,KOSDAQ,060380.KQ
동양이엔피,079960,KOSDAQ,079960.KQ
동양철관,008970,KOSPI,008970.KS
동양파일,228340,KOSDAQ,228340.KQ
동우팜투테이블,088910,KOSDAQ,088910.KQ
동운아나텍,094170,KOSDAQ,094170.KQ
동원F&B,049770,KOSPI,049770.KS
동원개발,013120,KOSDAQ,013120.KQ
동원금속,018500,KOSPI,018500.KS
동원산업,006040,KOSPI,006040.KS
동원수산,030720,KOSPI,030720.KS
동원시스템즈우,014825,KOSPI,014825.KS
동원시스템즈,014820,KOSPI,014820.KS
동인기연,111380,KOSPI,111380.KS
동일고무벨트,163560,KOSPI,163560.KS
동일금속,109860,KOSDAQ,109860.KQ
동일기연,032960,KOSDAQ,032960.KQ
동일산업,004890,KOSPI,004890.KS
동일스틸럭스,023790,KOSDAQ,023790.KQ
동일제강,002690,KOSPI,002690.KS
동진쎄미켐,005290,KOSDAQ,005290.KQ
동화기업,025900,KOSDAQ GLOBAL,025900.KQ
동화약품,000020,KOSPI,000020.KS
두산우,000155,KOSPI,000155.KS
두산2우B,000157,KOSPI,000157.KS
